ticker,description
1810.HK,XIAOMI-W
0700.HK,TENCENT
3750.HK,CATL
1211.HK,BYD COMPANY
9988.HK,BABA-W
0388.HK,HKEX
3690.HK,MEITUAN-W
1357.HK,MEITU
9992.HK,POP MART
0939.HK,CCB
1530.HK,3SBIO
1299.HK,AIA
0883.HK,CNOOC
2899.HK,ZIJIN MINING
0981.HK,SMIC
2015.HK,LI AUTO-W
1093.HK,CSPC PHARMA
0175.HK,GEELY AUTO
2020.HK,ANTA SPORTS
0005.HK,HSBC HOLDINGS
9868.HK,XPENG-W
9961.HK,TRIP.COM-S
6181.HK,LAOPU GOLD
3988.HK,BANK OF CHINA
0941.HK,CHINA MOBILE
9926.HK,AKESO
2318.HK,PING AN
0857.HK,PETROCHINA
9618.HK,JD-SW
1398.HK,ICBC
9888.HK,BIDU-SW
9626.HK,BILIBILI-W
2269.HK,WUXI BIO
1024.HK,KUAISHOU-W
1088.HK,CHINA SHENHUA
9999.HK,NTES-S
1801.HK,INNOVENT BIO
1060.HK,ALI PICTURES
9863.HK,LEAPMOTOR
6693.HK,CHIFENG GOLD
2057.HK,ZTO EXPRESS-W
3968.HK,CM BANK
6160.HK,BEIGENE
9880.HK,UBTECH ROBOTICS
9660.HK,HORIZONROBOT-W
1288.HK,ABC
0291.HK,CHINA RES BEER
2628.HK,CHINA LIFE
2228.HK,XTALPI
0762.HK,CHINA UNICOM
0386.HK,SINOPEC CORP
0992.HK,LENOVO GROUP
1919.HK,COSCO SHIP HOLD
2367.HK,GIANT BIOGENE
1347.HK,HUA HONG SEMI
1109.HK,CHINA RES LAND
0285.HK,BYD ELECTRONIC
6969.HK,SMOORE INTL
9698.HK,GDS-SW
0669.HK,TECHTRONIC IND
0241.HK,ALI HEALTH
2382.HK,SUNNY OPTICAL
0268.HK,KINGDEE INT'L
2465.HK,LOPAL TECH
1378.HK,CHINAHONGQIAO
0300.HK,MIDEA GROUP
1385.HK,SHANGHAI FUDAN
1818.HK,ZHAOJIN MINING
2498.HK,ROBOSENSE
1548.HK,GENSCRIPT BIO
1318.HK,MAO GEPING
1177.HK,SINO BIOPHARM
2423.HK,BEKE-W
0267.HK,CITIC
1171.HK,YANKUANG ENERGY
2388.HK,BOC HONG KONG
9995.HK,REMEGEN
