ticker,description
MKS.L,MARKS & SPENCER GROUP PLC
FRES.L,FRESNILLO PLC
BAB.L,BABCOCK INTERNATIONAL GROUP PLC
PHNX.L,PHOENIX GROUP HOLDINGS PLC
BA.L,BAE SYSTEMS PLC
ICG.L,INTERMEDIATE CAPITAL GROUP PLC
EDV.L,ENDEAVOUR MINING PLC
SVT.L,SEVERN TRENT PLC
AAL.L,ANGLO AMERICAN PLC
RR.L,ROLLS-ROYCE HOLDINGS PLC
AZN.L,ASTRAZENECA PLC
SGE.L,THE SAGE GROUP PLC
SMIN.L,SMITHS GROUP PLC
HSX.L,HISCOX LD
CPG.L,COMPASS GROUP PLC
GSK.L,GSK PLC
GAW.L,GAMES WORKSHOP GROUP PLC
CNA.L,CENTRICA PLC
UU.L,UNITED UTILITIES GROUP PLC
AAF.L,AIRTEL AFRICA PLC
RMV.L,RIGHTMOVE PLC
BEZ.L,BEAZLEY PLC
NWG.L,NATWEST GROUP PLC
REL.L,RELX PLC
TSCO.L,TESCO PLC
RTO.L,RENTOKIL INITIAL PLC
LLOY.L,LLOYDS BANKING GROUP PLC
CTEC.L,CONVATEC GROUP PLC
NG.L,NATIONAL GRID PLC
BATS.L,BRITISH AMERICAN TOBACCO PLC
HLN.L,HALEON PLC
SHEL.L,SHELL PLC
VOD.L,VODAFONE GROUP PLC
LAND.L,LAND SECURITIES GROUP PLC
MRO.L,MELROSE INDUSTRIES PLC
DPLM.L,DIPLOMA PLC
SGRO.L,SEGRO PLC
WEIR.L,WEIR GROUP PLC
STJ.L,ST.JAMES'S PLACE PLC
III.L,3I GROUP PLC
SGRO.L,SEGRO PLC
AUTO.L,AUTO TRADER GROUP PLC
CCH.L,COCA-COLA HBC AG
ULVR.L,UNILEVER PLC
IMB.L,IMPERIAL BRANDS PLC
BARC.L,BARCLAYS PLC
CCEP.L,COCA-COLA EUROPACIFIC PARTNERS PLC
HSBA.L,HSBC HLDGS PLC
MNDI.L,MONDI PLC
BP.L,BP PLC
PSON.L,PEARSON PLC
WTB.L,WHITBREAD PLC
SBRY.L,SAINSBURY(J) PLC
AV.L,AVIVA PLC
ITRK.L,INTERTEK GROUP PLC
SN.L,SMITH & NEPHEW PLC
FCIT.L,F&C INVESTMENT TRUST PLC
ANTO.L,ANTOFAGASTA PLC
STAN.L,STANDARD CHARTERED PLC
SDR.L,SCHRODERS PLC
HLMA.L,HALMA PLC
DGE.L,DIAGEO PLC
UTG.L,UNITE GROUP PLC
RIO.L,RIO TINTO PLC
SMT.L,SCOTTISH MORTGAGE INV TST PLC
ABF.L,ASSOCIATED BRITISH FOODS PLC
IMI.L,IMI PLC
HWDN.L,HOWDEN JOINERY GROUP PLC
BNZL.L,BUNZL PLC
PCT.L,POLAR CAPITAL TECHNOLOGY TRUST PLC
MNG.L,M&G PLC
CRDA.L,CRODA INTERNATIONAL PLC
LGEN.L,LEGAL & GENERAL GROUP PLC
INF.L,INFORMA PLC
LSEG.L,LONDON STOCK EXCHANGE GROUP PLC
BKG.L,BERKELEY GROUP HOLDINGS (THE) PLC
RKT.L,RECKITT BENCKISER GROUP PLC
LMP.L,LONDONMETRIC PROPERTY PLC
ENT.L,ENTAIN PLC
PSH.L,PERSHING SQUARE HOLDINGS LTD
ALW.L,ALLIANCE WITAN PLC
DCC.L,DCC PLC
NXT.L,NEXT PLC
EZJ.L,EASYJET PLC
PRU.L,PRUDENTIAL PLC
BT-A.L,BT GROUP PLC
GLEN.L,GLENCORE PLC
KGF.L,KINGFISHER PLC
PSN.L,PERSIMMON PLC
TW.L,TAYLOR WIMPEY PLC
EXPN.L,EXPERIAN PLC
AHT.L,ASHTEAD GROUP PLC
IAG.L,INTL CONSOLIDATED AIRLINES GROUP SA
WPP.L,WPP PLC
IHG.L,INTERCONTINENTAL HOTELS GROUP PLC
SSE.L,SSE PLC
BTRW.L,BARRATT REDROW PLC
SPX.L,SPIRAX GROUP PLC
JD.L,JD SPORTS FASHION PLC
